x,USD Growth,JPY Growth
20/07/16,0.00%,0.20%
19/07/16,0.20%,-0.10%
18/07/16,0.20%,-0.30%
15/07/16,0.70%,0.70%
14/07/16,0.30%,0.20%
13/07/16,-0.80%,-1.70%
12/07/16,0.20%,-0.50%
11/07/16,-0.40%,-1.80%
08/07/16,0.20%,-1.80%
07/07/16,0.10%,0.70%
06/07/16,-0.10%,-0.40%
05/07/16,0.70%,1.80%
04/07/16,-0.10%,0.70%
01/07/16,0.00%,0.00%
30/06/16,-0.30%,-0.20%
29/06/16,-0.10%,-0.20%
28/06/16,-0.20%,-0.40%
27/06/16,-0.70%,-1.40%
24/06/16,0.60%,1.30%
23/06/16,2.90%,6.30%
22/06/16,-0.90%,-2.00%
21/06/16,0.30%,0.30%
20/06/16,0.20%,0.20%
17/06/16,-0.70%,-1.00%
16/06/16,-0.70%,-0.60%
15/06/16,0.50%,2.30%
14/06/16,0.00%,-0.30%
13/06/16,0.40%,0.40%
10/06/16,0.30%,1.10%
09/06/16,0.30%,-0.10%
08/06/16,0.30%,0.90%
07/06/16,-0.30%,0.30%
06/06/16,0.00%,-0.50%
03/06/16,-1.70%,-0.10%
02/06/16,0.30%,0.40%
01/06/16,-0.10%,0.10%
31/05/16,-0.20%,1.40%
30/05/16,-0.10%,0.00%
27/05/16,0.30%,-1.10%
26/05/16,0.00%,0.40%
25/05/16,-0.20%,-0.10%
24/05/16,0.20%,-0.20%
23/05/16,0.40%,0.10%
20/05/16,0.00%,0.90%
19/05/16,-0.20%,-0.50%
18/05/16,0.70%,0.20%
17/05/16,0.30%,0.40%
16/05/16,0.10%,-0.50%
13/05/16,0.20%,0.20%
12/05/16,0.40%,0.80%
11/05/16,0.20%,-0.30%
10/05/16,-0.30%,0.00%
09/05/16,0.20%,-0.60%
06/05/16,0.30%,-0.90%
05/05/16,0.10%,0.20%
04/05/16,0.60%,0.10%
03/05/16,0.60%,-0.10%
02/05/16,-0.70%,0.00%
29/04/16,-0.80%,-0.10%
